GRAIN_YIELD:(t/ha):avg,country,SOWING_DATE:(date),HARVEST_STARTING_DATE:(date),GPS Altitude:(integer),GPS Latitude (Decimal),GPS Longitude (Decimal)
8.00921,GERMANY,Apr  3 2009,Aug  7 2009,400,48.71666666666667,-9.216666667
2.342855,UKRAINE,Apr 11 2019,Aug  6 2019,170,50,36.96666666666667
6.82866,SWITZERLAND,Apr 12 2010,Aug 10 2010,622,48.71666666666667,-9.216666667
4.16665,BURUNDI,Apr 14 2010,Sep  2 2010,2090,-3.566666667,29.683333333333334
1.580945,KAZAKHSTAN,Apr 26 2011,Aug 12 2011,740,-43.36666667,-77.16666667
12.205,CHILE,Aug  1 2018,Jan 21 2019,217,-31.11666667,-72.43333333
1.524935,ALGERIA,Dec  1 2013,Jun 26 2014,,36.15,5.35
5.434405,PAKISTAN,Dec  1 2014,Apr 29 2015,117,31.416666666666668,73.15
12.6188,EGYPT,Dec  1 2015,May 11 2016,28,29.066666666666666,31.1
7.95,IRAN,Dec  1 2016,May 13 2017,83,32.233333333333334,48.46666666666667
6.7018,NEPAL,Dec  1 2020,Apr 15 2021,125,29.016666666666666,81.58333333333333
5.112955,INDIA,Dec  2 2010,Apr 18 2011,300,29.716666666666665,75.95
3.032965,SUDAN,Dec  2 2014,Apr 11 2015,411,14.4,33.483333333333334
9.94417,PORTUGAL,Dec  2 2015,Jun 23 2016,208,38.88333333333333,-7.133333333
3.45828,TURKEY,Dec  3 2007,Jul  1 2008,,38.7,28.75
8.0845,AFGHANISTAN,Dec  4 2006,Jul  8 2007,964,34.3,62.266666666666666
5.25911,NIGERIA,Dec  4 2016,Mar 25 2017,225,12.45,11.966666666666667
3.52307,LIBYA,Dec  5 2016,May 26 2017,54,32.6,15.633333333333333
3.985,JORDAN,Dec  7 2014,Jul 13 2015,620,32.6,32.9
4.6355,MEXICO,Dec  7 2018,Apr 10 2019,38,27.483333333333334,-109.9833333
9.806425,SYRIA,Dec  8 2008,Jun  1 2009,203,35.18333333333333,40.35
5.447885,ITALY,Dec 15 2016,Jun 30 2017,100,39.4,9.083333333333334
5.291615,GREECE,Dec 23 2013,Jun 20 2014,106,39.56666666666667,22.333333333333332
2.63,BOLIVIA,Dec 28 2015,May 25 2016,2496,-17.65,-66.23333333
3.878,VENEZUELA,Jan  9 2017,Apr 19 2017,490,10.066666666666666,67.38333333333334
5.0821,SOUTH AFRICA,Jul  5 2019,Jan  9 2020,1687,-28.26666667,18.1
1.975,ARGENTINA,Jun  3 2009,Oct 21 2009,460,-28.05,-65.43333333
5.89129,NORTH KOREA,Mar 23 2018,Jul  5 2018,70,39.38333333333333,126.01666666666667
7.08329,SERBIA,Mar 26 2010,Jul 11 2010,84,45.05,19.133333333333333
4.60551,ECUADOR,Mar 30 2010,Aug 10 2010,3050,0.3833333333333333,-78.23333333
3.376005,CANADA,May  1 2015,Aug 28 2015,825,50.25,-107.7333333
1.68518,RUSSIA,May 16 2004,Aug 26 2004,105,55.016666666666666,73.38333333333334
9.52271,ZAMBIA,May 16 2016,Oct  5 2016,1300,-15.4,-23.3
4.457,MONGOLIA,May 18 2012,Sep  5 2012,665,49.46666666666667,105.75
2.54331,PERU,May 23 2008,Oct 20 2008,42,-12.23333333,-76.86666667
8.05,FRANCE,Nov  7 2005,Jul 17 2006,170,43.5,2
8.912475,BULGARIA,Nov  9 2019,Jul 22 2020,172,42.35,25.45
6.2666,LEBANON,Nov 21 2010,Jul 21 2011,1031,33.916666666666664,36.63333333333333
1.810385,THAILAND,Nov 22 2012,Feb 26 2013,560,19.466666666666665,98.16666666666667
6.35777,TUNISIA,Nov 30 2010,Jun 29 2011,193,36.733333333333334,9.216666666666667
9.47221,CHINA,Oct 10 2005,Jun 10 2006,500,38,114
11.26,AZERBAIJAN,Oct 25 2006,Jun 28 2007,28,-40.08333333,-48.08333333
