GRAIN_YIELD:(t/ha):avg,country,SOWING_DATE:(date),HARVEST_STARTING_DATE:(date),GPS Altitude:(integer),GPS Latitude (Decimal),GPS Longitude (Decimal)
8.00921,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.70597,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.476805,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.40736,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.40736,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.40736,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.38421,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.31477,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.222175,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.17588,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.17588,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
7.17588,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.9444,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.9444,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.9444,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.9444,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.9444,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.9444,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.851805,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.80551,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.71292,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.71292,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.71292,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.661995,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.62033,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.62033,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.59718,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.57403,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.48144,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.48144,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.45829,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.4282,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.38885,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.38885,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.38885,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.3657,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.3657,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.337925,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.24996,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.24996,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.13422,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
6.12265,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.99533,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.787,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.76385,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.67126,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.57867,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.46293,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.32404,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
5.09256,GERMANY,Apr  3 2009,Aug  7 2009,400.0,48.71666666666667,8.783333333333333
2.342855,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
2.28095,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
2.266665,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
2.1619,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
2.066665,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.95714,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.95714,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.899995,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.88095,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.88095,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.876185,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.828565,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.795235,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.65714,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.65238,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.47143,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.395235,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.33809,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.29524,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.233335,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.190475,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.18095,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.12857,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.119045,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.119045,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.104759,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.1,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.090475,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.0714295,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
1.0238105,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.9904745,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.9523815,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.952379,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.928572,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.9238085,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.861904,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.8238085,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
